iter	Passed	Remaining
0	24	24770
1	45	22907
2	66	22030
3	86	21573
4	108	21662
5	130	21601
6	152	21597
7	173	21525
8	195	21534
9	217	21507
10	238	21485
11	262	21631
12	286	21730
13	309	21800
14	332	21808
15	355	21846
16	378	21888
17	399	21791
18	422	21820
19	445	21846
20	467	21787
21	490	21823
22	511	21742
23	533	21705
24	548	21406
25	568	21308
26	590	21279
27	615	21372
28	637	21343
29	659	21321
30	679	21227
31	700	21204
32	722	21160
33	742	21094
34	762	21030
35	782	20943
36	799	20816
37	818	20710
38	840	20710
39	857	20588
40	880	20606
41	902	20582
42	924	20579
43	942	20479
44	959	20364
45	979	20320
46	998	20245
47	1018	20205
48	1039	20170
49	1056	20082
50	1075	20004
51	1095	19976
52	1119	20009
53	1142	20014
54	1162	19981
55	1182	19937
56	1201	19883
57	1218	19796
58	1236	19726
59	1258	19719
60	1277	19671
61	1294	19588
62	1313	19540
63	1335	19538
64	1353	19469
65	1370	19396
66	1390	19369
67	1408	19298
68	1427	19266
69	1444	19193
70	1461	19120
71	1478	19051
72	1496	19009
73	1516	18978
74	1537	18967
75	1561	18987
76	1579	18929
77	1598	18892
78	1620	18890
79	1638	18842
80	1659	18825
81	1679	18807
82	1698	18762
83	1717	18732
84	1736	18691
85	1755	18652
86	1772	18604
87	1793	18583
88	1814	18574
89	1834	18546
90	1853	18512
91	1872	18481
92	1892	18452
93	1909	18402
94	1927	18357
95	1947	18342
96	1968	18325
97	1988	18298
98	2009	18287
99	2029	18261
100	2046	18212
101	2064	18179
102	2081	18131
103	2102	18116
104	2122	18090
105	2141	18063
106	2158	18013
107	2178	17995
108	2200	17985
109	2218	17946
110	2235	17900
111	2253	17866
112	2272	17834
113	2294	17834
114	2314	17810
115	2333	17779
116	2352	17751
117	2369	17710
118	2388	17686
119	2408	17661
120	2425	17622
121	2443	17587
122	2462	17556
123	2481	17531
124	2502	17514
125	2524	17508
126	2546	17503
127	2566	17485
128	2584	17452
129	2605	17434
130	2625	17413
131	2648	17413
132	2665	17378
133	2685	17355
134	2704	17327
135	2724	17307
136	2741	17269
137	2760	17241
138	2777	17206
139	2798	17189
140	2817	17163
141	2836	17140
142	2855	17110
143	2872	17074
144	2891	17047
145	2912	17038
146	2932	17015
147	2951	16991
148	2974	16987
149	2992	16958
150	3011	16931
151	3029	16902
152	3048	16878
153	3068	16855
154	3085	16818
155	3103	16789
156	3121	16761
157	3139	16730
158	3156	16695
159	3175	16670
160	3194	16648
161	3216	16638
162	3233	16602
163	3252	16581
164	3273	16566
165	3293	16547
166	3310	16513
167	3331	16500
168	3350	16474
169	3367	16439
170	3388	16426
171	3408	16409
172	3427	16386
173	3445	16357
174	3466	16340
175	3483	16309
176	3503	16289
177	3524	16276
178	3545	16259
179	3565	16241
180	3586	16226
181	3604	16200
182	3623	16178
183	3643	16159
184	3661	16130
185	3679	16103
186	3699	16084
187	3720	16067
188	3741	16053
189	3760	16032
190	3777	15999
191	3794	15969
192	3815	15954
193	3832	15922
194	3849	15890
195	3866	15861
196	3886	15840
197	3906	15822
198	3924	15795
199	3942	15771
200	3961	15748
201	3979	15720
202	3996	15691
203	4016	15672
204	4037	15658
205	4056	15635
206	4073	15604
207	4091	15579
208	4110	15555
209	4128	15529
210	4146	15504
211	4165	15483
212	4186	15468
213	4204	15442
214	4221	15412
215	4240	15391
216	4256	15360
217	4275	15335
218	4295	15316
219	4315	15298
220	4333	15276
221	4350	15247
222	4369	15225
223	4391	15211
224	4412	15197
225	4433	15182
226	4450	15156
227	4468	15131
228	4490	15117
229	4509	15096
230	4529	15078
231	4547	15052
232	4566	15030
233	4586	15014
234	4603	14986
